Pagina;Area;Texto;Detalhes Técnicos;Detalhes Gerais;Resultados;Lições
1;11;GSE EFFICIENCY#7227;Ao término da prototipação, será entregue um protótipo simplificado da tela do GSE, incluindo a aba “Status de medição”. Nessa aba, será possível indicar se o cliente está em ligação direta ou em medição normal, facilitando sua identificação.;Ao término da prototipação, será entregue um protótipo simplificado da tela do GSE, incluindo a aba “Status de medição”. Nessa aba, será possível indicar se o cliente está em ligação direta ou em medição normal, facilitando sua identificação.;"Por meio desse sistema, será possível identificar de forma mais eficiente os consumidores com ligação direta, eliminando a necessidade de concluir ocorrências com status ""incompleta"", o que atualmente impacta negativamente o TMAE e gera prejuízos na arrecadação";"A experiência evidenciou a necessidade de maior centralização e automação das informações no sistema, uma vez que a ausência de uma interface adequada dificulta a identificação ágil de consumidores com ligação direta, gerando retrabalho, dependência de análises manuais e maior exposição a erros; além disso, a prática de concluir ocorrências com status ""incompleta"" impacta negativamente indicadores operacionais, como o TMAE, e compromete a confiabilidade dos dados, refletindo também em perdas de arrecadação, o que reforça a importância de evoluir a ferramenta para apoiar de forma mais eficiente os processos de negócio, priorizando soluções preventivas em vez de corretivas."
1;12;Ferramenta de Análise de Consumo de Religadores#7074;Um dashboard Power BI alimentado por um pipeline em Python que cruza consumo + logs de comunicação+ bases operacionais para indicar causas prováveis do estouro de pacote de dados por religador, validado com Automação/O&M.;Um dashboard Power BI alimentado por um pipeline em Python que cruza consumo + logs de comunicação+ bases operacionais para indicar causas prováveis do estouro de pacote de dados por religador, validado com Automação/O&M.;"Durante a fase de prototipagem, foi desenvolvido e validado um dashboard inicial utilizando uma amostra de 40 religadores, com dados integrados via pipeline em Python. Os principais resultados observados foram:

1. Visão consolidada dos equipamentos
A primeira página do dashboard demonstrou ser eficaz para fornecer uma visão geral do parque analisado, permitindo: identificação rápida do status dos religadores (ativos vs. suspensos), visualização centralizada dos equipamentos monitorados, facilidade de navegação e seleção para análises mais detalhadas. Essa abordagem contribuiu para melhorar a eficiência operacional, reduzindo o tempo necessário para localizar e investigar equipamentos com comportamento atípico.

2. Análise individualizada e interativa
A segunda página, acionada por meio da seleção de um equipamento, possibilitou: visualização de informações gerais do religador, exibição geográfica via mapa, facilitando contexto operacional, acompanhamento do consumo de dados ao longo do mês, apresentação de um diagnóstico preliminar sobre possíveis causas de alto consumo. Essa funcionalidade trouxe ganhos relevantes na redução do tempo de análise, permitindo uma investigação mais direta e orientada por dados.

3. Identificação preliminar de causas de alto consumo
Mesmo em estágio inicial, o cruzamento de consumo com logs e dados operacionais permitiu: sinalizar padrões de consumo anômalos, levantar hipóteses sobre causas como falhas de comunicação, retransmissões excessivas ou configurações inadequadas, criar uma base para validação futura com as áreas de Automação e O&M. Isso evidencia o potencial da solução para melhoria da qualidade do serviço e redução de custos associados ao uso indevido ou excessivo de dados.";Durante o desenvolvimento do protótipo, foram identificadas importantes lições que irão orientar os próximos passos: Qualidade dos dados: Inconsistências e falta de padronização impactam diretamente as análises, exigindo maior tratamento no pipeline. Diagnóstico ainda em evolução: As regras utilizadas precisam ser refinadas e validadas com especialistas de Automação e O&M. Usabilidade faz diferença: A navegação interativa e visual clara são essenciais para facilitar a análise e adoção do dashboard. Escalabilidade: O modelo funcionou bem com 40 religadores, mas demandará otimizações para expansão. Integração entre áreas: A colaboração com áreas técnicas é fundamental para garantir confiabilidade nos diagnósticos.
2;1;Informe de Seguros - Portal Centralizado#6457;Protótipo navegável do Portal Centralizado de Informe de Seguros, com fluxo completo de notificação, telas principais e formulário dinâmico. Inclui trilha de aprovação/direcionamento, histórico e visão de status. Servirá para validar a experiência do usuário, coletar melhorias e embasar a decisão sobre evolução sistêmica;Protótipo navegável do Portal Centralizado de Informe de Seguros, com fluxo completo de notificação, telas principais e formulário dinâmico. Inclui trilha de aprovação/direcionamento, histórico e visão de status. Servirá para validar a experiência do usuário, coletar melhorias e embasar a decisão sobre evolução sistêmica;Testes concluídos conforme o roteiro planejado, com validação do fluxo ponta a ponta. Navegação, clareza das telas e registro das informações atenderam aos critérios definidos.;"Alinhamento prévio de requisitos reduz retrabalho; campos obrigatórios e evidências precisam estar bem orientados; padronização de status e prazos facilita governança."
2;2;Controle de Hora Extra#6688;O produto final consiste numa planilha que acompanha o cadastramento e analisa os dados para que possa ser feito acompanhamento das horas extras realizadas de forma macro (METRO) e de forma micro (NPLs). Dessa forma, a planilha apresenta páginas que possuem tabelas de acompanhamento, gráficos por mês e detalhamento das NPLs da regional.;O produto final consiste numa planilha que acompanha o cadastramento e analisa os dados para que possa ser feito acompanhamento das horas extras realizadas de forma macro (METRO) e de forma micro (NPLs). Dessa forma, a planilha apresenta páginas que possuem tabelas de acompanhamento, gráficos por mês e detalhamento das NPLs da regional.;A partir da análise das necessidades da equipe, foi validado o projeto final para acompanhamento das horas extras realizadas. Assim, está sendo possível fazer um acompanhamento baseado nos valores de 2025;Conhecimento sobre como funciona e quais situações contextualizam a necessidade de se realizar hora extra para uma equipe de manutenção na Subtransmissão
2;3;Automatização no Processo de Equipamentos Indisponíveis#6560;"O entregável final do projeto abrange uma série de melhorias significativas, que incluem:

1. Modificações no Portal da Operação: Implementação de aprimoramentos que visam otimizar o processo de captação dos dados registrados na plataforma.
   
2. Estrutura Robusta para Tratamento de Dados: Desenvolvimento de uma infraestrutura sólida que assegura o tratamento adequado dos dados coletados no Portal da Operação.

3. Criação de um Dashboard: Elaboração de um painel de controle que possibilita a visualização, análise e estudo dos dados processados de forma eficiente.

Essas melhorias visam não apenas aumentar a eficiência do sistema, mas também proporcionar uma experiência mais intuitiva e informativa para os usuários.";"O entregável final do projeto abrange uma série de melhorias significativas, que incluem:

1. Modificações no Portal da Operação: Implementação de aprimoramentos que visam otimizar o processo de captação dos dados registrados na plataforma.
   
2. Estrutura Robusta para Tratamento de Dados: Desenvolvimento de uma infraestrutura sólida que assegura o tratamento adequado dos dados coletados no Portal da Operação.

3. Criação de um Dashboard: Elaboração de um painel de controle que possibilita a visualização, análise e estudo dos dados processados de forma eficiente.

Essas melhorias visam não apenas aumentar a eficiência do sistema, mas também proporcionar uma experiência mais intuitiva e informativa para os usuários.";"- Extração via SAP foi realizada sem problemas com auxílio do time de PCP da Subtransmissão (realizada diariamente)
- Estudo de bases de dados importantes (Codificação dos ativos; Codificação de Alarmes; Matriz de Risco) para o tratamento dos dados
- Tratamento dos dados extraídos foi realizado a partir de uma query, que a partir da mescla com outras bases de dados, deixou num modelo adequado para utilização na plataforma e com informações claras e segmentadas
- Desenvolvimento da página foi realizado junto ao time de Pós Operação, foi criada uma página web para exposição dos resultados obtidos e analisados nas outras etapas (Indisponibilidades totais; Novos indisponíveis e Normalizados; Balanço nos últimos 7 dias; Subestações com mais indisponibilidades; Ativo mais indisponível; Detalhamento das notas)
- Apresentação para a equipe de Manutenção da Subtransmissão para validação da plataforma e aquisição de feedbacks";Pode ser reconhecido nessa trajetória o desenvolvimento técnico adquirido, como o conhecimento de Equipamentos Indisponíveis, de como funciona a visão de Operação e Manutenção sobre esses equipamentos, familiaridade com a codificação dos ativos, entendimento sobre os alarmes e sua matriz de risco, desenvolvimento das práticas de plataformas web e apresentação de projetos. Além disso, é necessário reconhecer o aprendizado de saber que as equipes podem e devem trabalhar juntas em prol de um resultado que beneficie a todos, dessa forma - com a maior quantidade de visões e a soma de conhecimentos diferentes - é possível chegar num produto melhor e mais adequado para a utilização de todo o time.
2;4;Modelagem Estratégica de Mercado#6532;"Entregável final da prototipação:
- Scores individuais por cliente, indicando a probabilidade de migração para cada mercado.
- Modelo preditivo e sistema de automação para geração e atualização desses scores.";"Entregável final da prototipação:
- Scores individuais por cliente, indicando a probabilidade de migração para cada mercado.
- Modelo preditivo e sistema de automação para geração e atualização desses scores.";Após as análises dos clientes no grupo A, a seleção de variáveis e a chegada em um modelo preditivo coeso, o primeiro produto final foi o modelo que recebe um cliente com suas especificações, e é gerado um score relacionado a probabilidade de migração desse cliente.;Durante a prototipação, fui percebendo como o andamento das atividades muitas vezes se sobrepunham, mesmo no ideal o melhor seria fazer uma de cada vez, ou aguardar finalizar uma antes de iniciar outra, conceito esse que acabou sendo reforçado nos treinamentos existentes no Workday. Outra lição foi ter que lidar com a limitação do computador e dos softwares quanto a análise dos dados pesados, tendo que utilizar métodos diversificados para contornais certas limitações.
2;5;Ferramenta de orçamentação#6153;"O entregável consiste em um executável que disponibiliza uma ferramenta de orçamentação acessível diretamente pelo navegador, por meio da porta 8501. Desenvolvido em Python e baseado no framework Streamlit, o sistema oferece uma interface gráfica moderna, simples e intuitiva, garantindo praticidade e agilidade no uso.
Ao iniciar o aplicativo, o usuário encontra campos bem estruturados para inserir informações essenciais ao orçamento — como itens, quantidades e observações — de maneira clara e organizada. A adoção do Streamlit assegura não apenas um visual responsivo e atual, mas também abre caminho para futuras evoluções, como a integração de recursos analíticos avançados e a geração automatizada de relatórios.";"O entregável consiste em um executável que disponibiliza uma ferramenta de orçamentação acessível diretamente pelo navegador, por meio da porta 8501. Desenvolvido em Python e baseado no framework Streamlit, o sistema oferece uma interface gráfica moderna, simples e intuitiva, garantindo praticidade e agilidade no uso.
Ao iniciar o aplicativo, o usuário encontra campos bem estruturados para inserir informações essenciais ao orçamento — como itens, quantidades e observações — de maneira clara e organizada. A adoção do Streamlit assegura não apenas um visual responsivo e atual, mas também abre caminho para futuras evoluções, como a integração de recursos analíticos avançados e a geração automatizada de relatórios.";"Os resultados Foram bem sucedidos em diversos pontos:
- Relatórios personalizados;
- Tempo de Orçamentação;
- Padronização nas distribuidoras;
- Base de Dados de Fácil manutenção;
- Implementação de Nova tecnologia.";"- É necessário comunicação contínua com os usuários;
- Ao trabalhar com Software é necessário validação pelos usuários;
- Implementar Rotina de atualização Contínua;
- Requisitos claros são fundamentais;
- Testes não são opcionais."
2;6;Controle Integrado de Materiais Técnico & Segurança#6508;"Protótipo de um painel integrado que:

- Mostra reservas, pedidos, orçado, realizado.
- Atualiza Semanalmente.
- Permite filtros por Superitendência, Unidade Territorial de Distribuição (UTD), Item financeiro (Material Técnico / Material de Segurança),Motivo da Reserva ( Kit novo colaborador, reprova em teste, reposição Orgânica).
- Integração com a base do sistema Appollus.
- Visão Reservas através da MB51 e Pedidos realizados pelas UTDs do sistema SAP - FMEM";"Protótipo de um painel integrado que:

- Mostra reservas, pedidos, orçado, realizado.
- Atualiza Semanalmente.
- Permite filtros por Superitendência, Unidade Territorial de Distribuição (UTD), Item financeiro (Material Técnico / Material de Segurança),Motivo da Reserva ( Kit novo colaborador, reprova em teste, reposição Orgânica).
- Integração com a base do sistema Appollus.
- Visão Reservas através da MB51 e Pedidos realizados pelas UTDs do sistema SAP - FMEM";"Como esperado o Controle Integrado de Materiais Técnico & Segurança entregou resultados positivos que permite a gestão dessas duas contas importantes para a operação. O BI permite monitoramento semanal dos custos operacionais, evitando que a análise ocorra apenas após o fechamento do mês, além das analisas detalhadas de gastos por SUP, Setor e UTD. 

Segue link: https://app.powerbi.com/groups/me/apps/5ca3f4ea-1899-44a6-af52-0b3abf360a40/reports/0db74725-847f-45f8-ae98-9945477e1a7b?ctid=031a09bc-a2bf-44df-888e-4e09355b7a24&experience=power-bi";"Durante o planejamento do protótipo, algumas lições importantes foram identificadas: 
- O BI não é apenas visualização, mas apoio à operação;
- As pessoas precisam de dashboards intuitivos para realmente utilizar as informações no dia a dia da Operação;
- Integração de sistemas ( FMEM, MB51, BI.....)"
2;7;Mapa Gerencial - Carteira de Grandes Clientes#6747;O Mapa Gerencial – Carteira de Grandes Clientes é uma solução dedicada ao acompanhamento, programação e gestão das obras em execução para clientes estratégicos do departamento. O produto visa fornecer uma visão consolidada e atualizada da carteira de obras, apresentando status, prazos, etapas, responsáveis, regional de atendimento e impacto operacional de cada intervenção. O mapa utiliza dados atualizados automaticamente, permitindo que gestores e consultores monitorem o andamento das obras, identifiquem gargalos, priorizem demandas e planejem ações preventivas. Além disso, inclui recursos de evidência de progresso, histórico de alterações, indicadores-chave (obras críticas, atrasadas, concluídas e programadas), além de possibilitar a visualização por filtros como tipo de obra, cliente, regional e período. A solução fornece governança, rastreabilidade e visibilidade estratégica, apoiando decisões rápidas e contribuindo diretamente para a qualidade do atendimento aos grandes clientes.;O Mapa Gerencial – Carteira de Grandes Clientes é uma solução dedicada ao acompanhamento, programação e gestão das obras em execução para clientes estratégicos do departamento. O produto visa fornecer uma visão consolidada e atualizada da carteira de obras, apresentando status, prazos, etapas, responsáveis, regional de atendimento e impacto operacional de cada intervenção. O mapa utiliza dados atualizados automaticamente, permitindo que gestores e consultores monitorem o andamento das obras, identifiquem gargalos, priorizem demandas e planejem ações preventivas. Além disso, inclui recursos de evidência de progresso, histórico de alterações, indicadores-chave (obras críticas, atrasadas, concluídas e programadas), além de possibilitar a visualização por filtros como tipo de obra, cliente, regional e período. A solução fornece governança, rastreabilidade e visibilidade estratégica, apoiando decisões rápidas e contribuindo diretamente para a qualidade do atendimento aos grandes clientes.;O protótipo do Mapa Gerencial – Carteira de Grandes Clientes estabeleceu a base funcional para uma solução integrada de acompanhamento das obras destinadas aos clientes estratégicos do departamento. A versão inicial consolidou informações essenciais da carteira — como status, prazos, etapas, regional responsável, prioridades e indicadores críticos — oferecendo uma primeira visualização estruturada do fluxo de obras em andamento. O protótipo permitiu validar a viabilidade técnica da atualização automática dos dados, dos filtros segmentados e da lógica de classificação das obras, além de demonstrar a capacidade da ferramenta de fornecer visibilidade consolidada para gestores e consultores. Mesmo em fase inicial, o modelo possibilitou identificar gargalos operacionais, testar regras de categorização, alinhar expectativas com as áreas demandantes e orientar futuras evoluções da solução. Como entrega preliminar, o protótipo cumpriu seu papel de demonstrar o potencial da plataforma, estabelecer conceitos funcionais, validar requisitos e direcionar ajustes necessários para uma versão final robusta, responsiva e aderente às necessidades do departamento e dos grandes clientes.;"A centralização das informações da carteira melhora a acurácia e reduz divergências entre diferentes unidades e equipes envolvidas no processo.
A atualização automática dos dados mostrou-se essencial para evitar defasagens de informação e garantir decisões em tempo real.
A definição clara das regras de classificação das obras evidenciou a importância de padronização para leitura consistente do painel.
O controle sistemático por logs e histórico de alterações facilitou auditorias, diagnósticos e revisões após incidentes.
A manutenção contínua do painel reforçou que soluções críticas exigem monitoramento frequente, mesmo quando consideradas estáveis, para preservar qualidade e confiabilidade."
2;8;Automação do Cadastro para Migração do Mercado Livre (Portal de Medição)#6733;A automação do cadastro para migração ao Mercado Livre no Portal da Medição tem como objetivo eliminar etapas manuais e padronizar o processo pelo qual os clientes solicitam sua migração para o mercado livre de energia. O sistema recebe os dados necessários, valida informações obrigatórias, aplica regras de consistência (como conferência de CNPJ, número de unidade consumidora ou pendências documentais) e envia automaticamente o cadastro ao Portal da Medição por meio de integração. A automação também trata os retornos das iterações, garantindo que cada transação seja registrada com logs detalhados, permitindo rastreabilidade e auditoria. O recurso reduz falhas humanas, acelera o fluxo de atendimento, assegura conformidade com os padrões internos e melhora a experiência do cliente ao tornar o processo mais rápido, padronizado e confiável.;A automação do cadastro para migração ao Mercado Livre no Portal da Medição tem como objetivo eliminar etapas manuais e padronizar o processo pelo qual os clientes solicitam sua migração para o mercado livre de energia. O sistema recebe os dados necessários, valida informações obrigatórias, aplica regras de consistência (como conferência de CNPJ, número de unidade consumidora ou pendências documentais) e envia automaticamente o cadastro ao Portal da Medição por meio de integração. A automação também trata os retornos das iterações, garantindo que cada transação seja registrada com logs detalhados, permitindo rastreabilidade e auditoria. O recurso reduz falhas humanas, acelera o fluxo de atendimento, assegura conformidade com os padrões internos e melhora a experiência do cliente ao tornar o processo mais rápido, padronizado e confiável.;A automação de cadastro de migração ao Mercado Livre no Portal da Medição padronizou o fluxo de envio das solicitações e eliminou etapas suscetíveis a inconsistências manuais. O processo passou a receber e validar informações obrigatórias, aplicar regras de consistência e registrar logs detalhados de cada interação, garantindo rastreabilidade e aderência aos padrões internos. A integração estabelecida com o Portal da Medição permitiu o envio automático das solicitações e o tratamento dos retornos da plataforma, assegurando acompanhamento completo de cada transação. Com a automação, o fluxo tornou-se mais rápido, previsível e confiável. A redução de manipulações manuais diminuiu falhas operacionais, acelerou o tempo de atendimento e proporcionou maior padronização na análise dos dados enviados, contribuindo para um processo mais eficiente e alinhado às exigências do mercado livre de energia.;"A validação automatizada de dados e regras de consistência reduz significativamente retrabalho e garante maior confiabilidade às solicitações enviadas.
A rastreabilidade completa via logs detalhados mostrou-se essencial para auditoria, suporte e diagnóstico de inconsistências, permitindo rápida identificação de desvios e comportamento do processo.
A execução diária de atividades de verificação, mesmo com alocação reduzida, foi suficiente para manter a organização e controle do desenvolvimento, evitando acúmulo de demandas e garantindo cadência estável.
A integração direta com o Portal da Medição reforçou a importância de homologações iterativas, especialmente em fluxos que dependem de validações externas.
A ausência de contratação externa enfatizou o valor de processos estruturados, documentação contínua e priorização adequada, permitindo que o desenvolvimento avançasse de forma controlada dentro do escopo disponível."
2;9;Portal de Centralização de Automações (Origo)#5807;O Origi é o portal corporativo que centraliza as automações do departamento e orquestra os tratamentos e atualizações das bases de dados, oferecendo visão operacional e executiva em um único ambiente com governança e trilha de auditoria completas. O portal reúne módulos especializados — Relacionamento, Obras, Serviços, Contratos, Relatórios e Indicadores, MMGD e Mercado Livre — além de Gestão de Perfil transversal, que administra perfis, permissões e preferências de notificação por unidade/regional. No Relacionamento, há schedule de atualização automática da base de clientes uma vez por semana e dashboard de indicadores de faturamento e débito acumulado. Em Obras, a base de obras para clientes de GD e Carga é atualizada duas vezes ao dia por carga automática, com dashboard de indicadores e mapa gerencial para análise georreferenciada e por regional. O módulo de Serviços executa schedule diário de atualização da base, mantém dashboard de desempenho (entradas, backlog, idade) e dispara notificações de status para clientes uma vez ao dia, com possibilidade de ativação manual imediata quando necessário. Em Contratos, o schedule atualiza a base duas vezes ao dia, há dashboard de indicadores contratuais e um portal de gerenciamento de contratos em aberto com geração automática de contratos a partir de templates e metadados. O módulo de Relatórios e Indicadores consolida uma visão executiva em dashboard geral do departamento e oferece upload centralizado e padronizado para as três unidades, com validação de layout e versionamento. Em MMGD, o portal apresenta dashboard de indicadores específicos, automatiza o envio de notificações de atendimento às listas de rateio solicitadas pelos clientes e mantém schedule de atualização da base de clientes de mini e microgeração. Já em Mercado Livre, o sistema executa schedule de atualização da base de clientes, disponibiliza dashboard de pipeline e performance e realiza a automação de cadastro de clientes que solicitam migração no Portal da Medição, garantindo validações de integridade e retorno de status. Em todos os módulos, todas as interações do usuário — como inclusões, alterações, consultas sensíveis, disparos manuais e publicações — são registradas em logs de atividades com carimbo de data e hora, usuário, ação e parâmetros críticos, assegurando resguardo, histórico e conformidade para auditoria, análise e recuperação operacional.;O Origi é o portal corporativo que centraliza as automações do departamento e orquestra os tratamentos e atualizações das bases de dados, oferecendo visão operacional e executiva em um único ambiente com governança e trilha de auditoria completas. O portal reúne módulos especializados — Relacionamento, Obras, Serviços, Contratos, Relatórios e Indicadores, MMGD e Mercado Livre — além de Gestão de Perfil transversal, que administra perfis, permissões e preferências de notificação por unidade/regional. No Relacionamento, há schedule de atualização automática da base de clientes uma vez por semana e dashboard de indicadores de faturamento e débito acumulado. Em Obras, a base de obras para clientes de GD e Carga é atualizada duas vezes ao dia por carga automática, com dashboard de indicadores e mapa gerencial para análise georreferenciada e por regional. O módulo de Serviços executa schedule diário de atualização da base, mantém dashboard de desempenho (entradas, backlog, idade) e dispara notificações de status para clientes uma vez ao dia, com possibilidade de ativação manual imediata quando necessário. Em Contratos, o schedule atualiza a base duas vezes ao dia, há dashboard de indicadores contratuais e um portal de gerenciamento de contratos em aberto com geração automática de contratos a partir de templates e metadados. O módulo de Relatórios e Indicadores consolida uma visão executiva em dashboard geral do departamento e oferece upload centralizado e padronizado para as três unidades, com validação de layout e versionamento. Em MMGD, o portal apresenta dashboard de indicadores específicos, automatiza o envio de notificações de atendimento às listas de rateio solicitadas pelos clientes e mantém schedule de atualização da base de clientes de mini e microgeração. Já em Mercado Livre, o sistema executa schedule de atualização da base de clientes, disponibiliza dashboard de pipeline e performance e realiza a automação de cadastro de clientes que solicitam migração no Portal da Medição, garantindo validações de integridade e retorno de status. Em todos os módulos, todas as interações do usuário — como inclusões, alterações, consultas sensíveis, disparos manuais e publicações — são registradas em logs de atividades com carimbo de data e hora, usuário, ação e parâmetros críticos, assegurando resguardo, histórico e conformidade para auditoria, análise e recuperação operacional.;"O Origo consolidou-se como uma plataforma operacional integrada capaz de unificar automações, dados, indicadores e governança em um único ambiente. A padronização dos fluxos — Relacionamento, Obras, Serviços, Contratos*, Relatórios/Indicadores, MMGD e Mercado Livre — reduziu ruídos entre unidades, eliminou retrabalho manual e aumentou a previsibilidade na atualização das bases. Os schedules configurados em diferentes frequências (semanal, diária e duas vezes ao dia) garantiram cadência estável de processamento, permitindo diagnósticos rápidos de falhas, alta confiabilidade e menor dependência de intervenções ad hoc. A centralização dos dashboards acelerou análises executivas e operacionais, enquanto a trilha de auditoria trouxe segurança, rastreabilidade e conformidade para todas as ações.
O conjunto das automações resultou em maior eficiência operacional, melhor qualidade nas entregas, experiência aprimorada para usuários internos/externos e redução significativa no tempo total de processamento e respostas.* Os módulos de Contratos e Gestão de Perfil não integraram o escopo inicial de produção devido ao acatamento parcial do projeto.";"Escopo modular reduz riscos: a implementação faseada permitiu estabilizar componentes críticos antes de avançar para funcionalidades mais sensíveis, evitando sobrecarga operacional.
Governança e logs são diferenciais estratégicos: a rastreabilidade completa demonstrou-se essencial para auditoria, suporte e recuperação operacional, reduzindo incertezas e facilitando análises pós-incidente.
Cadência de atualização é mais valiosa que volume de entregas: schedules estáveis, combinados com monitoramento diário, mantiveram o fluxo operacional íntegro e diminuíram falhas silenciosas.
Colaboração entre unidades é determinante: a consolidação de requisitos das três unidades alinhou expectativas e padronizou interpretações, evitando divergências que antes surgiam em processos paralelos.
Documentação viva evita perda de conhecimento: a atualização contínua do changelog e dos materiais técnicos garantiu que evoluções fossem absorvidas sem ruptura, mantendo a equipe sincronizada."
2;10;SmartEnergy+#7118;"Ao final da etapa de prototipação, será apresentada uma régua de comunicação. Utilizando a régua será possível encaminhar mensagem para os clientes sempre que seu consumo de energia apresentar variações em relação à média mensal da residência (avaliadas em percentuais e considerando sazonalidade).

Cada comunicação incluirá:
- Insights para incentivar o uso mais consciente de energia;
- Uma pesquisa de satisfação;
- Um espaço para sugestões de melhoria";"Ao final da etapa de prototipação, será apresentada uma régua de comunicação. Utilizando a régua será possível encaminhar mensagem para os clientes sempre que seu consumo de energia apresentar variações em relação à média mensal da residência (avaliadas em percentuais e considerando sazonalidade).

Cada comunicação incluirá:
- Insights para incentivar o uso mais consciente de energia;
- Uma pesquisa de satisfação;
- Um espaço para sugestões de melhoria";"O projeto SmartEnergy+ foi desenvolvido com foco na comunicação com os clientes externos da Neoenergia. Para a realização dos testes e viabilização dos resultados, foram utilizados recursos como o Copilot e a plataforma LinkedIn Learning, que auxiliaram tanto no desenvolvimento técnico quanto no aprimoramento do conhecimento ao longo do projeto.
Para atender ao fluxo proposto, foram empregadas ferramentas como Visual Studio Code, Microsoft Azure, Copilot, além do Excel e Word para registro e documentação das informações. A estrutura do projeto contou com o uso de Python para a geração de dados iniciais, técnicas de Machine Learning para análise desses dados sintéticos e, por fim, o envio de mensagens aos grupos por meio do Power Automate.
Em resumo, apesar dos impedimentos relacionados à conectividade e às limitações da infraestrutura de rede, os testes foram considerados bem-sucedidos, demonstrando a viabilidade técnica e funcional da solução proposta.";"Durante a primeira etapa do projeto, foi necessário adquirir conhecimentos relacionados à estruturação de código e à adaptação dos resultados gerados, garantindo que as saídas estivessem organizadas e adequadas aos objetivos propostos.
Na segunda etapa, tornou-se essencial o aprofundamento em Aprendizado de Máquina (Machine Learning), a fim de compreender técnicas de análise e interpretação dos dados, bem como a aplicação adequada dos modelos aos dados sintéticos utilizados no projeto.
Por fim, na etapa final, houve a necessidade de buscar conhecimentos em automação de processos, especialmente com o uso do Power Automate. Essa etapa se mostrou fundamental devido a impedimentos relacionados ao contato via WhatsApp, o que exigiu a realização de pesquisas e a definição de fluxos alternativos de comunicação para viabilizar a entrega dos resultados."
2;11;IA Especializada para Suporte Regulatório#7228;Uma solução de Inteligência Artificial treinada com resoluções vigentes, PRODIST, normativos internos e histórico de respostas regulatórias, capaz de interpretar normas, apoiar análises técnicas e gerar minutas iniciais com citações rastreáveis. O entregável final inclui modelo de IA operacional, interface de uso para usuários, pipeline de dados contínuo, mecanismos de governança e auditoria, oferecendo precisão, padronização e agilidade ao processo regulatório.;Uma solução de Inteligência Artificial treinada com resoluções vigentes, PRODIST, normativos internos e histórico de respostas regulatórias, capaz de interpretar normas, apoiar análises técnicas e gerar minutas iniciais com citações rastreáveis. O entregável final inclui modelo de IA operacional, interface de uso para usuários, pipeline de dados contínuo, mecanismos de governança e auditoria, oferecendo precisão, padronização e agilidade ao processo regulatório.;"Na etapa inicial do projeto, foi realizada a prototipação com foco na avaliação preliminar do uso de Inteligência Artificial. Embora o planejamento contemplasse três etapas, foi possível desenvolver apenas a primeira, devido à limitação de acesso às ferramentas e licenças necessárias para as fases de construção e treinamento da IA.
Ainda assim, foram conduzidos testes utilizando a versão básica do Copilot, permitindo analisar seu desempenho em consultas relacionadas ao contexto regulatório. Observou-se que, com o refinamento dos comandos e a restrição das bases de consulta (por meio do uso de documentos específicos), a ferramenta passa a apresentar respostas mais próximas do esperado. Sem esse direcionamento, há maior risco de geração de respostas imprecisas ou sem respaldo regulatório.
Adicionalmente, foi realizado um teste comparativo entre respostas geradas pela IA e respostas técnicas previamente estruturadas. Esse teste evidenciou que a IA possui boa capacidade de aproximação conceitual, porém ainda apresenta limitações quanto à precisão normativa, podendo omitir fundamentos legais, simplificar análises e, em alguns casos, antecipar conclusões que exigiriam validação mais criteriosa.
Esse cenário reforça que, embora a IA seja útil como ferramenta de apoio inicial, o objetivo do projeto deve evoluir para o treinamento estruturado da solução — seja por meio de licenças mais avançadas do Copilot ou pela adoção de outra ferramenta que permita maior controle sobre os dados e o comportamento da IA.";"- A disponibilidade de ferramentas e licenças é um fator crítico para o avanço do projeto;
- O treinamento da IA com dados internos é essencial para garantir maior precisão e aderência;
- A qualidade dos resultados está diretamente relacionada à forma de elaboração dos prompts;
- A IA apresenta boa aderência conceitual, mas limitações na aplicação normativa e no nível de detalhamento;
- Testes iniciais, mesmo com escopo restrito e uso de documentos específicos, são importantes para validar o potencial e as limitações da solução;
- A evolução do projeto depende da implementação de um ambiente que permita treinamento e maior governança das respostas geradas."
